iter	Logloss
0	0.68122388
1	0.6699078304
2	0.6621461774
3	0.6515406016
4	0.6410795115
5	0.6336162759
6	0.6242733908
7	0.6164647341
8	0.6068446108
9	0.5974419727
10	0.5894134564
11	0.5813847308
12	0.5725159303
13	0.5640933974
14	0.557645686
15	0.5510959393
16	0.5437996704
17	0.5361126387
18	0.52944899
19	0.5218877237
20	0.5150312479
21	0.5083089757
22	0.5017706951
23	0.4940976431
24	0.4865730475
25	0.4788525892
26	0.4735715533
27	0.4672087202
28	0.460190012
29	0.4547210426
30	0.449421086
31	0.4440131043
32	0.4393627066
33	0.4339592954
34	0.4286043384
35	0.4244702708
36	0.4203804923
37	0.4153559988
38	0.4116664674
39	0.4077305244
40	0.4030821641
41	0.3981340918
42	0.3941269177
43	0.39050927
44	0.3869667421
45	0.3821328784
46	0.3781569393
47	0.37363771
48	0.370368232
49	0.3674173382
50	0.3635468115
51	0.3601589545
52	0.3564721104
53	0.352887891
54	0.3500784525
55	0.3471411418
56	0.3445016636
57	0.3412305329
58	0.3377905985
59	0.3355671945
60	0.3327460678
61	0.3294462532
62	0.326742308
63	0.3241014548
64	0.3213476807
65	0.3193157588
66	0.3170419254
67	0.3142682078
68	0.3120699167
69	0.3096194598
70	0.306786604
71	0.3045868783
72	0.3027265065
73	0.3002236581
74	0.2979660447
75	0.2960405329
76	0.294252504
77	0.2923530531
78	0.2900456406
79	0.2877816494
80	0.2854867073
81	0.2835311926
82	0.2812289169
83	0.2789224317
84	0.2771675842
85	0.2752034795
86	0.2738864649
87	0.2717936696
88	0.270067295
89	0.2685542213
90	0.2666922006
91	0.2644763442
92	0.2628197238
93	0.2606069473
94	0.2590079676
95	0.2570899381
96	0.2554229257
97	0.253629334
98	0.252344197
99	0.2505684546
100	0.249073049
101	0.2477261624
102	0.2465299889
103	0.2451868092
104	0.2438052858
105	0.242289081
106	0.2405895648
107	0.2392601514
108	0.2379643532
109	0.2367203187
110	0.2352961619
111	0.2343518928
112	0.2331212921
113	0.2318634
114	0.2304127409
115	0.2291574355
116	0.228243507
117	0.2268328064
118	0.2256585702
119	0.2242097546
120	0.2225970728
121	0.2209120436
122	0.2194730378
123	0.2182869485
124	0.2172010939
125	0.2158253284
126	0.2145972794
127	0.2135941477
